"Table 1a: Estimated population by sex, single year of age and 2011 Data Zone area: 30 June 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,,All Ages,,PERSONS,,,,,,,,,PERSONS,,,,,,,,,,,,,PERSONS,,,,,,,,,,,,,PERSONS,,,,,,,,,,,,,PERSONS,,,,,,,,,,,,,PERSONS,,,,,,,,,,,,,PERSONS,,,,,,,,,,,,,PERSONS,,,
,,,,AGE0,AGE1,AGE2,AGE3,AGE4,AGE5,AGE6,AGE7,AGE8,AGE9,AGE10,AGE11,AGE12,AGE13,AGE14,AGE15,AGE16,AGE17,AGE18,AGE19,AGE20,AGE21,AGE22,AGE23,AGE24,AGE25,AGE26,AGE27,AGE28,AGE29,AGE30,AGE31,AGE32,AGE33,AGE34,AGE35,AGE36,AGE37,AGE38,AGE39,AGE40,AGE41,AGE42,AGE43,AGE44,AGE45,AGE46,AGE47,AGE48,AGE49,AGE50,AGE51,AGE52,AGE53,AGE54,AGE55,AGE56,AGE57,AGE58,AGE59,AGE60,AGE61,AGE62,AGE63,AGE64,AGE65,AGE66,AGE67,AGE68,AGE69,AGE70,AGE71,AGE72,AGE73,AGE74,AGE75,AGE76,AGE77,AGE78,AGE79,AGE80,AGE81,AGE82,AGE83,AGE84,AGE85,AGE86,AGE87,AGE88,AGE89,AGE90+
S01011720,,536,,3,2,4,3,1,6,2,2,5,1,6,6,3,8,4,5,9,6,5,2,8,6,11,13,5,9,3,10,5,3,4,10,4,4,3,6,4,2,4,5,8,6,12,9,5,9,7,8,3,8,10,11,9,11,12,12,13,14,4,11,12,13,14,13,10,6,11,3,8,9,5,5,5,8,5,6,3,2,2,0,1,1,0,2,3,3,1,0,0,0,1
S01011721,,713,,4,13,10,9,9,6,4,8,6,13,8,9,7,4,9,8,10,6,9,5,7,4,6,5,9,7,2,8,8,10,8,7,11,10,12,14,16,7,5,10,15,14,4,9,7,8,8,7,6,2,11,7,8,4,3,6,9,10,10,21,21,19,14,26,11,8,10,3,14,6,6,9,11,6,7,8,6,1,7,7,3,4,3,0,2,1,3,0,1,1,3
S01011722,,715,,6,8,11,10,5,9,10,8,6,7,9,7,10,7,10,5,13,5,8,6,8,8,7,7,6,12,5,14,5,6,7,7,6,10,2,10,3,9,8,12,9,13,7,8,9,5,5,12,3,12,14,9,9,10,9,4,6,11,10,18,8,11,24,17,18,17,12,7,5,14,4,10,0,6,5,4,10,6,6,2,7,6,1,7,3,2,1,1,0,1,5
S01011723,,950,,18,7,8,12,7,8,12,12,7,10,12,9,17,11,9,14,19,9,8,11,7,7,10,3,6,7,9,11,10,16,13,14,11,15,9,11,11,16,16,21,15,15,17,22,9,9,13,18,12,13,12,7,12,8,7,13,18,15,22,15,15,21,17,19,11,12,16,7,8,10,13,14,8,6,5,4,4,4,8,5,3,5,3,5,3,3,1,1,2,0,2
S01011724,,735,,20,12,10,13,14,8,17,9,9,11,7,5,27,13,13,18,12,22,13,13,6,16,3,4,12,9,12,10,10,10,12,10,16,11,6,11,11,11,18,13,10,22,11,21,11,24,13,24,7,10,10,9,11,7,8,2,3,6,7,4,7,5,2,3,4,3,1,2,1,1,0,0,0,2,1,0,1,0,0,1,1,0,0,2,0,1,0,0,0,0,0
S01011725,,636,,8,8,4,6,10,8,6,13,7,10,10,6,10,9,15,9,9,10,9,13,17,9,12,6,7,6,2,8,6,5,10,5,13,9,6,8,9,8,10,8,10,11,18,11,15,17,20,15,14,17,12,15,18,4,17,11,3,4,5,7,2,9,3,3,3,1,1,3,2,3,0,2,3,1,2,4,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0
S01011726,,556,,9,3,8,8,13,6,8,4,5,8,8,10,8,7,10,10,12,8,6,6,3,2,1,6,3,7,10,6,7,7,8,12,10,7,11,5,12,10,4,7,15,10,8,13,14,14,11,13,14,8,9,14,9,8,6,6,12,6,6,7,7,9,5,4,5,6,5,4,4,0,0,3,0,0,0,1,1,2,0,1,0,0,0,0,0,0,1,0,0,0,0
S01011727,,791,,14,18,11,14,21,16,12,14,18,3,13,10,15,11,14,16,6,9,14,11,13,6,2,12,7,9,7,8,12,12,14,13,12,15,8,9,14,10,22,19,29,28,20,18,19,16,21,12,6,10,9,12,7,10,5,9,9,4,5,6,3,7,2,6,3,4,3,4,2,5,1,2,2,3,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1
S01011728,,942,,14,9,8,8,10,11,15,15,10,7,13,8,9,9,17,7,9,11,13,16,12,19,7,17,11,19,11,15,17,14,17,15,15,11,9,13,11,11,17,20,10,8,10,16,9,12,17,5,8,14,12,13,14,13,11,9,12,5,13,11,16,17,21,19,18,9,11,5,6,8,8,10,7,6,5,9,4,5,5,7,1,3,5,2,3,2,1,2,2,2,1
S01011729,,709,,8,8,12,2,8,11,9,11,11,7,13,9,8,8,16,9,6,12,12,13,10,8,11,5,4,7,11,4,11,6,6,6,15,7,9,13,6,7,12,13,11,14,15,5,6,7,12,8,9,4,11,10,12,7,8,11,11,8,13,11,2,8,6,6,11,10,10,11,13,8,1,6,6,6,3,6,8,2,10,1,2,0,5,0,2,1,4,0,0,1,3
S01011730,,850,,3,5,3,6,3,1,4,4,4,3,6,5,2,7,6,4,11,11,1,8,3,7,14,7,6,9,9,5,15,16,6,11,8,7,5,7,9,6,7,11,18,7,13,10,11,3,5,9,10,13,15,7,18,12,17,15,24,24,19,17,21,18,20,26,25,14,13,17,16,16,14,14,12,14,7,8,11,7,9,6,7,3,6,3,4,3,1,0,0,1,2
S01011731,,871,,10,4,11,7,9,7,10,5,8,4,13,11,12,10,8,10,12,12,12,11,6,4,6,10,12,7,7,6,7,12,9,13,8,9,12,12,8,10,10,9,11,15,13,10,14,10,11,13,14,11,12,9,11,10,12,7,6,6,13,9,8,12,16,25,18,18,12,14,14,10,8,12,13,5,10,9,4,4,5,9,3,14,8,5,4,1,6,6,1,2,15
S01011732,,782,,5,5,7,7,2,6,6,4,10,4,8,6,6,6,11,10,12,13,7,12,8,9,6,11,9,5,4,7,6,10,10,9,7,6,7,6,6,10,9,5,9,12,4,9,9,14,17,13,9,8,11,12,12,25,19,21,17,17,21,15,18,17,18,23,23,11,20,16,6,6,8,5,4,10,4,5,4,1,0,4,1,3,1,0,1,1,0,0,0,0,1
S01011733,,855,,6,6,9,4,9,11,14,8,7,16,10,7,13,11,8,8,5,13,7,10,8,11,13,6,8,16,7,10,11,10,10,9,14,17,9,7,19,8,8,8,7,12,11,5,10,18,11,10,8,12,9,20,8,10,18,9,14,7,13,5,12,10,16,19,15,19,15,10,13,14,20,6,11,4,7,12,7,6,4,2,7,6,3,1,1,1,2,1,0,1,2
S01011734,,762,,6,7,6,4,6,6,7,8,6,7,10,6,6,5,6,10,13,12,10,10,8,6,12,7,4,6,17,10,6,10,5,6,8,6,9,6,6,8,8,17,9,9,13,19,7,8,9,14,12,22,8,18,6,9,6,12,10,8,7,14,15,9,10,10,15,15,13,12,6,11,8,10,7,10,14,7,8,4,10,8,4,5,2,4,2,0,2,0,1,2,2
S01011735,,732,,3,6,9,7,5,5,5,14,3,4,6,6,10,8,11,15,7,9,9,16,6,5,6,5,5,2,3,4,5,3,3,10,4,6,10,7,5,11,5,7,8,6,7,15,9,9,15,9,15,12,14,7,8,8,6,14,11,8,16,13,18,18,17,19,20,11,21,17,11,9,11,4,11,11,6,8,6,6,5,3,6,4,3,2,1,1,1,2,0,0,0
S01011736,,765,,15,10,10,13,8,14,7,13,11,16,12,15,10,10,17,11,7,6,15,7,10,10,8,10,9,8,10,13,6,4,15,11,17,7,13,16,7,14,8,9,12,14,15,14,17,13,14,16,10,11,5,4,10,11,10,8,5,6,4,5,5,6,6,9,13,3,3,10,8,4,4,7,7,6,8,5,4,5,3,2,5,1,0,0,1,2,1,0,0,0,1
S01011737,,724,,7,7,10,13,11,7,13,8,12,13,11,14,9,7,11,17,10,12,15,14,7,8,12,10,11,9,5,10,10,5,6,5,8,4,7,13,17,9,14,15,4,6,9,11,18,7,12,7,15,10,11,10,4,11,5,7,5,6,6,8,6,4,9,4,10,3,10,6,10,5,6,3,8,7,6,9,5,3,7,4,2,6,1,4,1,1,0,1,2,0,3
S01011738,,"1,037",,13,10,9,16,8,13,12,10,15,10,7,24,15,13,12,11,17,17,13,11,26,11,12,21,15,12,22,18,13,14,13,13,9,6,13,14,4,13,12,13,20,12,16,16,15,16,17,14,19,21,17,10,17,20,12,11,13,19,14,11,5,10,7,11,11,11,4,6,13,8,9,5,5,7,13,4,8,10,7,2,9,5,3,1,10,2,2,1,3,3,2
S01011739,,499,,2,5,4,0,3,4,4,3,1,8,2,3,11,4,5,9,14,6,3,5,9,5,5,7,5,6,4,6,8,3,8,2,2,6,6,6,4,6,4,6,7,11,14,10,10,9,10,7,7,11,6,9,10,9,7,6,5,4,12,7,5,4,3,4,9,6,3,6,3,6,6,3,6,8,5,8,8,2,5,5,3,5,4,1,1,0,3,1,1,0,0
S01011740,,767,,8,11,16,17,8,9,11,9,11,8,7,14,13,11,9,9,9,10,8,10,15,7,14,16,9,6,1,12,13,13,16,8,7,12,20,15,4,11,11,10,11,18,13,8,11,15,11,8,10,16,9,6,8,9,10,9,10,3,10,8,5,2,14,4,11,6,5,5,13,6,9,9,6,5,7,2,5,3,4,2,0,4,2,1,3,0,1,0,0,0,2
S01011741,,652,,8,4,9,8,5,10,6,5,5,10,5,10,8,13,5,7,5,8,8,14,11,10,9,5,10,14,10,13,3,9,8,6,3,6,6,11,7,9,6,3,9,15,16,5,7,8,9,15,17,8,9,6,12,14,3,8,4,8,11,3,4,8,10,9,10,10,10,7,10,4,6,1,8,6,8,5,9,6,5,3,3,3,3,0,1,0,0,1,1,1,1
S01011742,,754,,13,11,6,14,6,8,8,8,6,4,8,14,10,9,7,10,15,6,18,6,9,10,7,7,5,8,7,5,11,15,4,7,9,5,12,2,3,11,8,12,7,11,14,13,14,12,11,13,11,14,11,13,13,12,12,8,7,11,7,13,8,6,12,11,6,10,10,15,8,7,4,8,10,7,8,5,5,8,6,8,6,6,4,1,1,1,1,1,0,0,0
S01011743,,799,,14,11,11,10,11,11,8,8,10,6,6,5,7,9,9,7,12,7,8,14,7,8,10,12,13,11,11,17,19,17,9,6,16,9,10,16,11,4,3,7,4,9,9,13,13,11,9,13,10,11,10,14,14,9,4,9,8,5,13,5,12,8,12,9,7,11,8,10,8,12,15,9,5,8,11,9,7,5,6,6,7,4,3,3,1,2,2,1,3,1,1
S01011744,,844,,12,14,13,15,10,10,7,6,4,5,9,3,4,9,6,6,6,8,6,17,9,5,11,16,6,13,20,15,12,12,15,15,8,10,9,10,8,14,12,6,16,11,12,12,8,6,6,11,13,10,13,11,9,8,9,11,8,3,12,8,12,5,7,13,15,8,6,7,7,14,5,9,9,11,10,7,8,5,8,8,10,5,14,2,7,13,4,6,2,5,9
S01011745,,711,,2,8,6,4,10,5,3,4,5,3,1,4,3,8,6,4,10,6,6,8,16,6,5,2,5,5,10,11,4,4,3,10,9,5,9,6,8,10,7,6,8,4,9,16,10,10,12,18,12,6,3,7,1,3,6,5,7,11,7,5,8,14,12,3,7,9,7,15,7,7,11,12,14,12,20,8,12,12,17,12,18,6,7,11,9,6,6,3,6,2,11
S01011746,,528,,9,2,4,4,9,9,9,6,8,6,7,9,8,10,16,11,2,10,4,7,6,11,4,5,4,13,6,4,3,4,7,2,6,8,5,6,9,5,7,11,7,3,5,9,10,6,7,8,14,7,7,9,9,15,8,8,9,7,4,8,3,5,4,1,6,8,4,5,2,2,6,3,5,4,6,7,3,4,4,2,3,1,0,2,1,0,0,1,0,0,0
S01011747,,984,,11,11,21,19,23,12,15,11,12,13,16,9,17,17,20,10,12,15,12,18,13,18,26,20,15,12,18,24,10,5,5,7,6,7,11,20,8,10,17,16,9,15,9,10,15,16,11,24,20,11,15,12,17,14,11,8,11,16,8,6,7,9,7,16,11,7,7,4,9,5,6,8,8,6,4,6,8,4,7,7,5,6,4,1,0,0,2,0,0,0,0
S01011748,,877,,13,11,18,7,14,11,17,5,13,24,10,22,12,10,17,22,12,15,9,8,17,7,18,16,10,14,12,7,12,26,15,14,14,16,7,12,13,19,9,10,6,9,18,8,14,10,17,18,13,16,14,12,23,8,8,4,4,6,8,4,8,9,7,4,5,9,4,5,8,6,5,6,8,4,0,3,6,6,2,3,1,4,2,1,2,0,1,0,0,0,0
S01011749,,769,,17,15,13,18,14,8,17,12,10,10,8,11,11,13,22,13,10,11,15,17,12,15,19,22,20,13,11,16,19,14,8,13,10,10,13,12,14,19,12,12,17,5,4,11,7,7,14,10,16,8,6,7,9,10,5,5,5,7,4,8,3,4,4,5,4,6,6,6,2,1,1,0,3,2,0,2,1,0,2,0,1,0,0,0,0,1,0,1,0,0,0
S01011750,,876,,14,10,11,14,11,8,7,7,9,5,8,14,20,11,11,9,13,14,16,6,9,13,10,12,6,7,13,7,10,11,15,10,17,7,13,9,12,16,8,6,8,8,19,13,20,18,12,19,9,10,9,12,7,15,9,11,11,13,9,6,7,8,14,6,5,10,7,12,12,12,10,15,8,5,11,9,6,7,9,5,6,6,5,4,1,0,2,4,2,1,0
S01011751,,961,,20,17,15,9,12,8,9,7,13,12,8,7,8,17,5,19,14,15,7,10,16,20,22,18,16,14,18,18,26,19,27,21,10,14,13,15,12,9,20,14,15,11,14,16,19,15,14,16,14,17,11,16,9,8,14,21,9,6,7,10,10,13,6,7,4,10,5,7,2,7,3,5,3,6,3,2,3,3,5,4,5,0,3,4,0,2,0,0,0,1,2
S01011752,,935,,10,12,10,12,14,11,8,6,13,9,7,15,9,11,13,16,12,8,7,9,8,13,9,11,15,12,15,18,23,19,17,15,18,16,11,18,10,17,12,17,12,11,12,18,17,12,15,19,11,14,13,13,14,16,10,11,16,18,10,6,12,4,5,4,3,5,8,6,7,8,3,5,10,8,8,10,9,8,4,7,5,7,3,2,2,2,0,0,1,3,2
S01011753,,771,,3,10,5,12,9,2,8,9,11,7,8,10,3,5,8,7,4,8,8,14,6,10,7,5,8,9,8,11,16,15,8,7,8,3,15,11,9,10,4,15,16,21,6,8,13,10,8,9,15,12,6,10,13,16,10,9,4,6,11,11,14,8,9,17,11,10,9,15,7,16,10,12,9,11,5,4,6,11,7,3,5,3,2,3,5,3,1,1,0,2,2
S01011754,,768,,4,11,11,13,9,13,11,7,13,7,7,6,9,7,7,8,9,10,12,15,9,8,7,9,10,9,3,5,14,6,7,13,7,8,6,7,5,9,9,6,9,10,12,7,12,5,19,7,13,11,8,7,10,7,14,16,12,10,10,13,12,10,5,5,14,7,7,11,15,7,3,7,8,13,9,10,8,6,8,7,9,5,6,2,4,5,3,1,1,0,2
S01011755,,940,,15,12,13,17,19,12,13,9,6,10,8,11,10,9,8,10,10,10,9,7,12,22,8,11,13,8,19,19,14,21,12,11,18,13,18,23,14,23,12,13,20,12,18,18,15,8,16,18,10,18,10,15,9,13,6,14,9,11,11,19,13,5,8,12,11,4,12,9,11,8,5,5,5,3,4,6,6,1,3,3,2,2,0,2,2,1,2,0,0,0,3
S01011756,,984,,10,17,12,15,16,19,14,11,12,11,8,7,16,16,13,12,22,16,10,13,17,15,17,8,12,12,19,11,15,21,10,16,16,9,11,6,16,9,15,15,15,21,16,22,17,16,8,11,11,17,17,12,7,10,11,16,8,13,16,11,16,12,6,6,12,10,10,11,8,7,9,7,6,5,7,5,4,5,4,2,3,3,2,1,3,1,1,0,0,0,3
S01011757,,733,,9,13,6,10,7,9,13,12,13,9,13,9,13,8,11,3,10,7,10,15,7,7,9,7,7,7,18,13,9,7,13,7,12,6,11,11,3,9,6,13,13,12,16,14,5,10,9,7,8,10,8,6,7,10,12,11,10,11,6,5,9,4,14,5,17,8,7,5,6,4,7,4,4,2,13,6,6,7,2,4,4,3,1,1,3,4,0,2,4,2,3
S01011758,,608,,1,6,9,3,11,6,11,10,9,7,6,6,6,7,15,6,7,7,10,13,8,5,7,7,7,5,2,8,4,13,8,13,11,4,11,7,8,11,10,7,7,11,12,12,10,14,3,8,4,11,9,5,9,11,12,8,5,8,9,5,9,9,11,8,8,7,9,10,5,5,4,6,7,3,3,3,2,2,1,4,1,2,2,0,0,1,0,1,0,0,0
S01011759,,822,,8,4,12,7,11,10,9,5,7,17,9,7,14,9,16,10,11,7,15,11,8,4,7,7,9,5,9,14,9,6,1,9,6,12,5,13,12,11,15,11,10,13,13,11,10,8,10,9,13,11,9,10,9,13,7,10,12,10,12,15,18,15,13,13,17,19,7,15,11,14,10,13,14,7,7,4,8,6,5,2,3,3,2,0,1,1,3,1,2,0,1
S01011760,,884,,8,12,4,12,15,10,13,12,10,11,5,6,12,7,12,8,11,10,8,11,20,7,10,18,7,13,15,23,8,15,11,20,10,10,12,17,11,16,12,6,13,13,20,7,11,12,11,8,10,23,12,13,12,9,8,12,8,6,11,11,12,10,9,11,14,8,11,6,17,13,8,15,12,10,8,7,3,5,1,0,2,5,0,2,3,2,0,0,0,0,2
S01011761,,719,,9,18,12,17,6,18,11,15,16,9,18,8,14,14,14,11,7,6,12,9,6,7,5,7,8,10,14,18,14,16,3,18,12,13,13,14,11,10,19,16,7,18,8,12,14,4,9,9,10,12,5,3,9,9,14,3,8,6,4,7,9,5,4,3,4,5,1,2,4,4,5,3,3,2,1,3,0,0,0,3,0,2,1,1,1,0,2,1,0,0,1
S01011762,,640,,13,7,7,9,11,11,6,2,5,7,6,7,3,8,8,9,11,7,19,12,10,8,8,11,14,16,10,7,13,6,14,13,9,6,11,9,13,10,7,14,9,9,7,7,6,12,8,9,9,5,6,5,10,7,8,10,5,7,4,4,4,4,4,3,9,4,5,8,9,5,6,8,7,5,6,5,5,5,2,4,2,2,2,0,0,2,0,0,0,0,0
S01011763,,773,,5,7,7,3,15,5,6,14,4,5,7,3,7,12,11,4,12,8,9,5,6,8,8,9,10,8,4,6,10,3,14,10,9,9,8,12,11,6,5,9,14,14,14,10,10,9,15,11,10,11,11,8,8,11,14,12,12,17,18,23,16,17,17,11,18,13,7,9,12,5,9,3,7,5,7,6,5,4,4,4,4,1,0,1,2,1,5,7,1,2,4
S01011764,,403,,5,3,5,2,1,2,1,3,3,7,4,8,7,10,7,2,11,5,5,6,10,3,6,9,10,3,4,5,2,2,4,5,4,5,5,4,5,4,5,5,4,6,2,6,9,6,9,2,10,8,8,4,5,5,6,6,2,8,3,6,3,5,13,12,11,2,7,4,5,4,4,4,3,3,4,2,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1
S01011765,,987,,16,6,15,9,8,8,12,8,13,4,8,7,17,8,15,8,16,14,21,19,28,16,17,13,9,5,11,9,11,17,2,18,16,12,12,16,11,10,16,8,15,19,8,15,12,18,17,27,27,19,15,21,19,16,11,14,20,17,21,15,18,14,13,9,21,6,9,6,9,6,5,4,5,3,5,3,2,4,0,3,1,1,0,3,0,1,0,0,0,0,1
S01011766,,511,,5,3,4,8,6,7,5,6,3,8,5,5,5,10,4,8,6,7,7,8,5,3,4,1,5,6,0,1,3,5,4,4,4,2,3,8,11,3,6,12,10,2,14,11,10,9,12,13,10,6,11,8,10,5,6,10,8,11,9,10,5,8,8,17,12,7,6,4,8,7,5,1,3,3,3,3,2,2,5,3,3,0,0,0,0,1,0,0,0,0,0
S01011767,,861,,6,12,11,9,8,4,9,5,7,6,5,6,6,4,9,6,9,9,13,14,7,11,13,10,22,14,14,15,0,8,12,13,13,4,7,6,10,8,5,11,11,15,12,13,12,11,12,13,5,7,7,16,14,15,17,13,11,14,9,13,13,11,19,21,12,12,18,9,12,14,8,8,5,4,12,9,9,12,8,10,6,2,4,4,2,2,3,1,0,1,9
S01011768,,715,,14,11,9,3,12,6,4,14,3,5,9,8,11,7,9,12,5,6,9,11,13,11,12,9,5,14,11,11,14,9,11,8,16,14,7,6,12,7,11,12,8,12,12,11,17,13,9,11,9,11,6,7,8,10,5,4,10,5,9,7,6,7,3,6,5,10,7,8,9,7,8,7,2,2,2,4,7,7,6,3,4,3,1,2,4,3,2,3,2,4,6
S01011769,,632,,10,5,10,5,3,4,3,4,5,4,4,2,10,6,8,6,5,8,4,2,11,8,3,5,8,7,5,7,4,8,9,7,3,8,10,7,8,3,3,5,5,6,10,7,16,10,11,5,9,9,8,8,9,15,10,11,8,1,6,6,14,4,3,10,4,3,7,5,14,6,7,13,13,12,16,8,13,5,10,10,4,7,8,1,4,4,1,4,3,3,9
S01011770,,814,,8,9,11,8,7,7,15,11,5,8,5,8,5,9,6,2,6,5,8,13,21,14,11,8,9,9,17,19,13,16,8,5,14,13,12,13,9,9,6,4,8,6,9,10,10,10,11,19,15,12,7,14,11,9,12,13,11,7,8,16,9,8,8,7,12,11,5,8,13,6,12,5,13,6,12,13,5,2,3,6,5,5,5,4,7,4,3,1,2,1,9
S01011771,,663,,5,7,4,6,5,10,6,10,8,8,14,8,9,11,10,10,9,12,13,13,8,9,6,7,5,8,8,3,10,6,12,8,9,4,7,5,7,14,6,14,13,6,14,8,13,14,15,15,10,13,13,18,11,15,10,13,8,17,7,7,14,5,10,11,4,4,6,4,6,1,2,4,3,4,3,1,3,0,0,2,0,1,0,0,0,0,1,0,0,0,0
S01011772,,"1,089",,4,13,8,6,11,15,13,16,10,12,15,13,15,15,27,17,13,23,20,17,18,15,5,14,15,7,3,6,4,2,1,3,7,8,6,12,13,5,7,14,21,15,21,15,20,24,26,20,17,27,23,27,23,17,36,24,13,19,15,16,21,14,11,17,13,9,15,14,10,10,7,10,13,12,9,4,9,5,3,3,4,2,2,1,1,2,1,0,0,0,0
S01011773,,594,,7,6,8,11,14,10,15,3,13,8,6,4,10,9,8,15,11,9,8,6,9,10,8,5,5,7,6,9,4,6,7,4,7,12,7,6,9,13,10,14,19,15,10,10,15,15,16,13,16,12,11,8,5,8,10,10,8,4,6,5,3,4,2,3,3,3,1,0,2,2,2,0,1,5,0,5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
S01011774,,951,,10,8,8,15,13,15,15,16,17,22,15,20,29,13,20,14,14,15,16,15,14,15,11,5,8,5,8,7,7,5,12,13,14,7,13,13,13,12,11,25,16,17,23,22,28,24,21,33,21,21,20,14,15,16,10,12,6,14,15,7,6,1,6,6,8,4,3,3,4,2,1,3,4,3,0,1,2,1,3,2,2,0,0,1,1,1,0,0,0,0,0
S01011775,,658,,7,6,15,5,8,11,12,12,7,9,22,15,17,15,10,12,7,13,8,8,6,5,7,5,2,4,2,3,0,4,10,9,5,10,7,10,13,15,13,18,19,18,14,16,21,18,25,12,8,14,14,10,7,4,2,6,8,9,6,3,4,3,5,3,3,1,4,5,0,1,4,2,2,3,0,2,0,1,4,2,3,2,1,0,1,0,0,0,1,0,0
S01011776,,"1,146",,21,15,17,12,24,24,28,28,21,27,20,21,28,26,21,20,15,23,9,9,7,7,7,10,6,12,3,5,6,17,12,4,9,14,7,28,17,21,25,31,24,35,39,32,32,22,16,19,22,20,16,13,19,19,8,3,10,5,5,3,11,4,6,8,5,0,3,5,1,3,2,7,6,3,4,4,1,4,4,6,3,2,7,3,2,0,2,3,2,1,15
S01011777,,644,,6,10,19,4,9,16,9,9,8,13,12,12,10,8,10,11,8,2,5,5,6,6,2,3,3,6,8,5,5,6,8,10,10,9,5,13,9,10,16,10,22,18,17,15,23,17,14,6,10,7,11,8,11,3,1,7,6,8,5,7,4,7,5,7,8,8,4,7,2,4,3,5,7,3,1,4,1,3,0,2,1,1,0,0,2,1,0,1,0,0,1
S01011778,,641,,5,7,9,8,11,12,12,8,14,2,10,12,9,6,13,2,8,14,9,10,10,9,10,3,5,12,7,4,5,6,8,13,16,5,8,10,5,19,12,10,12,8,12,12,15,10,12,11,7,17,10,13,12,9,10,8,8,7,2,5,5,2,6,2,7,3,5,2,2,0,6,4,2,6,2,2,8,2,4,0,2,2,1,3,0,0,0,2,0,1,2
S01011779,,797,,9,7,13,11,4,16,5,11,16,9,9,9,9,4,10,11,12,9,6,9,6,3,8,6,10,4,11,4,6,13,7,12,7,13,11,5,6,8,14,14,11,5,9,18,16,17,14,12,20,19,13,15,6,9,9,9,9,10,12,18,13,12,13,6,14,12,10,10,10,5,4,10,7,8,7,6,9,0,7,5,3,5,2,5,2,3,0,0,0,1,0
S01011780,,932,,5,6,5,7,15,7,14,16,16,23,9,14,16,18,18,18,13,12,12,15,14,12,7,11,9,9,9,5,4,9,1,6,4,5,9,9,8,14,12,8,18,15,18,23,25,14,29,22,20,15,29,17,15,14,19,13,10,9,22,15,16,16,7,15,13,7,12,2,10,7,4,5,5,4,3,8,3,2,1,0,1,1,1,0,1,1,1,0,0,0,0
S01011781,,589,,6,3,7,3,6,5,3,9,11,5,9,4,12,16,11,15,11,10,9,10,11,9,6,4,9,2,3,3,4,2,1,3,1,2,2,7,11,9,2,11,10,8,10,15,9,6,21,12,15,14,12,10,8,10,7,12,13,10,7,10,7,6,5,7,10,4,7,4,8,1,5,2,5,5,5,3,2,3,2,1,3,3,0,1,1,1,1,0,0,0,1
S01011782,,682,,3,4,4,7,2,5,6,4,6,7,8,5,8,11,14,8,7,11,8,7,11,6,14,9,11,6,6,4,2,7,8,6,7,4,6,4,3,6,5,5,6,5,8,9,13,9,13,12,12,12,17,16,12,21,17,21,22,10,10,8,16,16,8,10,11,11,7,4,12,4,8,7,6,10,7,6,4,3,1,1,3,2,0,1,1,1,2,0,0,0,2
S01011783,,577,,9,4,7,8,10,7,1,7,5,4,3,3,4,4,7,5,7,11,3,10,10,7,9,10,11,6,10,10,4,3,5,7,4,2,6,9,10,11,3,5,8,8,4,3,9,8,7,7,13,8,9,11,15,9,10,17,15,8,13,17,8,12,8,8,10,10,4,9,6,3,1,1,3,6,6,7,3,1,2,1,2,3,0,1,0,1,0,0,0,0,1
S01011784,,791,,11,8,6,5,14,6,7,3,4,7,12,6,12,5,10,16,17,13,9,8,6,10,11,7,12,13,12,9,10,6,12,12,9,9,6,13,10,15,8,7,12,9,11,11,11,8,11,15,7,15,13,17,20,15,22,10,16,17,16,14,18,5,13,5,7,9,5,6,6,5,3,4,7,3,5,3,2,0,6,7,4,5,3,1,3,1,2,0,2,1,4
S01011785,,887,,5,6,8,8,15,8,15,11,11,18,5,12,16,10,12,8,9,6,7,8,8,4,10,5,10,7,11,11,11,13,20,7,9,13,13,15,18,11,6,9,14,8,11,9,4,3,10,9,9,10,9,11,12,16,15,16,23,19,19,14,12,19,12,19,11,15,11,8,3,9,8,9,3,10,14,4,6,5,4,9,9,4,9,6,2,2,1,1,3,2,7
S01011786,,440,,8,12,8,6,13,8,6,10,12,8,12,6,6,6,8,9,11,7,9,6,5,6,0,5,2,1,2,6,12,8,7,12,14,8,10,12,11,4,7,12,12,8,4,10,6,13,9,5,5,6,5,5,5,4,2,5,1,1,0,4,0,0,2,1,1,0,0,0,1,1,0,0,2,2,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0
S01011787,,"1,013",,9,6,15,9,14,14,12,17,12,6,11,12,11,15,16,17,13,20,18,15,10,15,14,10,17,13,14,9,16,9,9,7,13,8,12,21,13,12,12,17,22,17,10,16,21,15,14,16,19,15,18,12,17,6,6,11,13,16,7,9,10,6,7,7,18,5,12,15,13,7,10,5,11,14,9,8,12,6,7,5,2,7,3,4,5,2,1,4,0,1,4
