"Table 1a: Estimated population by sex, single year of age and 2011 Data Zone area: 30 June 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,,All Ages,,PERSONS,,,,,,,,,PERSONS,,,,,,,,,,,,,PERSONS,,,,,,,,,,,,,PERSONS,,,,,,,,,,,,,PERSONS,,,,,,,,,,,,,PERSONS,,,,,,,,,,,,,PERSONS,,,,,,,,,,,,,PERSONS,,,
,,,,AGE0,AGE1,AGE2,AGE3,AGE4,AGE5,AGE6,AGE7,AGE8,AGE9,AGE10,AGE11,AGE12,AGE13,AGE14,AGE15,AGE16,AGE17,AGE18,AGE19,AGE20,AGE21,AGE22,AGE23,AGE24,AGE25,AGE26,AGE27,AGE28,AGE29,AGE30,AGE31,AGE32,AGE33,AGE34,AGE35,AGE36,AGE37,AGE38,AGE39,AGE40,AGE41,AGE42,AGE43,AGE44,AGE45,AGE46,AGE47,AGE48,AGE49,AGE50,AGE51,AGE52,AGE53,AGE54,AGE55,AGE56,AGE57,AGE58,AGE59,AGE60,AGE61,AGE62,AGE63,AGE64,AGE65,AGE66,AGE67,AGE68,AGE69,AGE70,AGE71,AGE72,AGE73,AGE74,AGE75,AGE76,AGE77,AGE78,AGE79,AGE80,AGE81,AGE82,AGE83,AGE84,AGE85,AGE86,AGE87,AGE88,AGE89,AGE90+
S01006540,,944,,14,17,12,10,10,8,5,7,7,7,6,9,6,8,5,3,5,10,7,12,6,12,8,11,10,10,16,20,9,14,7,14,20,15,12,22,24,13,15,9,18,12,7,12,14,11,16,22,13,12,12,20,14,14,10,14,11,13,17,22,10,10,9,14,13,7,2,6,10,11,8,5,6,8,6,4,7,6,5,9,5,10,7,10,5,8,6,5,4,0,9
S01006541,,811,,16,16,7,11,8,8,7,3,7,5,8,6,8,5,6,6,4,5,7,4,5,6,5,6,5,3,5,10,6,13,11,8,6,10,8,13,15,8,16,13,14,13,9,5,11,14,8,14,7,10,9,14,12,7,5,10,6,13,13,8,10,5,11,11,8,3,7,4,7,10,9,10,5,8,11,18,8,5,11,9,8,11,14,15,7,14,5,12,9,4,21
S01006542,,"1,012",,11,8,10,6,7,6,10,9,6,14,9,11,4,4,12,4,17,8,9,6,2,1,9,4,9,5,3,8,8,12,15,12,13,10,11,14,13,16,15,16,12,16,13,15,11,11,19,13,11,17,16,17,11,16,15,8,22,13,10,19,18,12,15,20,9,13,11,8,5,10,12,14,19,8,17,12,13,12,22,17,10,15,17,12,12,5,5,4,6,0,7
S01006543,,801,,6,11,11,7,7,11,10,7,6,5,2,6,9,5,6,11,8,4,6,3,8,6,10,7,6,4,3,4,6,6,3,7,10,8,5,10,6,9,11,12,14,13,9,10,14,13,10,19,9,12,12,13,14,12,9,13,9,9,4,14,8,11,11,9,8,13,10,10,9,10,8,5,11,3,10,9,9,11,10,7,14,18,16,13,7,10,9,3,7,2,6
S01006544,,"1,077",,17,11,10,14,7,14,9,7,7,8,6,4,4,8,10,7,7,8,5,8,12,10,9,23,20,18,16,14,29,15,13,33,21,24,15,19,18,15,16,17,10,13,20,13,12,9,15,18,24,14,15,19,11,14,21,19,16,10,12,14,15,11,18,14,8,11,7,7,6,8,2,4,9,5,8,7,6,5,1,9,4,9,8,5,7,7,6,4,8,12,19
S01006545,,"1,072",,13,15,13,10,6,12,9,6,5,5,9,7,7,8,3,4,10,9,2,5,11,5,7,17,14,11,11,17,16,17,21,21,19,14,16,20,16,15,8,11,10,10,8,22,14,14,13,7,14,12,18,17,20,13,10,18,16,14,10,17,9,12,17,18,13,13,11,8,10,6,8,9,6,13,17,12,14,11,5,14,16,6,9,8,13,13,7,9,12,10,21
S01006546,,636,,7,6,4,6,6,5,8,4,8,8,2,9,14,6,8,6,4,14,7,3,10,7,5,6,1,4,2,4,5,7,1,6,6,9,3,11,6,4,9,7,8,6,4,20,7,16,15,7,9,14,8,16,16,10,6,11,6,5,6,12,13,9,10,9,12,6,9,9,13,7,7,5,4,7,12,4,4,6,4,2,1,9,3,6,2,2,2,2,0,2,5
S01006547,,912,,7,9,10,4,6,14,14,8,5,8,10,8,12,8,6,10,9,6,7,10,9,14,6,11,14,6,17,4,10,8,7,10,7,10,10,7,11,11,8,13,13,6,11,14,11,10,17,14,11,13,10,8,13,16,13,14,10,12,12,11,11,13,20,12,13,14,11,11,11,12,7,11,7,8,14,6,4,12,11,12,14,10,5,7,10,11,6,5,6,5,10
S01006548,,731,,6,10,8,7,6,4,3,8,8,4,7,2,6,8,10,7,11,7,6,5,8,8,1,8,7,3,4,6,4,7,17,6,6,2,8,7,7,4,3,9,8,10,8,7,13,13,13,17,15,7,8,6,18,7,8,11,8,4,10,2,16,12,12,10,11,13,11,11,11,8,12,11,9,8,9,15,15,10,9,8,13,6,7,6,5,2,4,7,1,5,3
S01006549,,808,,6,7,11,8,11,7,8,2,3,8,7,6,9,12,4,10,7,8,7,8,9,7,7,6,6,4,7,8,4,10,6,8,9,12,6,5,5,9,11,13,10,10,13,14,20,11,16,6,14,19,10,14,8,10,17,13,9,19,11,13,9,14,10,13,15,10,8,13,9,14,7,5,11,11,11,11,4,4,4,12,9,7,7,3,6,1,6,2,1,3,10
