"Table 1a: Estimated population by sex, single year of age and 2011 Data Zone area, and council area: 30 June 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,Area Name,Council Area,All ages,,,PERSONS,,,,,,,,,,,,PERSONS,,,,,,,,,,,,,PERSONS,,,,,,,,,,,,PERSONS,,,,,,,,,,,,PERSONS,,,,,,,,,,,,PERSONS,,,,,,,,,,,,PERSONS,,,,,,,,,,,,,,,,,,
,,,,,AGE0,AGE1,AGE2,AGE3,AGE4,AGE5,AGE6,AGE7,AGE8,AGE9,AGE10,AGE11,AGE12,AGE13,AGE14,AGE15,AGE16,AGE17,AGE18,AGE19,AGE20,AGE21,AGE22,AGE23,AGE24,AGE25,AGE26,AGE27,AGE28,AGE29,AGE30,AGE31,AGE32,AGE33,AGE34,AGE35,AGE36,AGE37,AGE38,AGE39,AGE40,AGE41,AGE42,AGE43,AGE44,AGE45,AGE46,AGE47,AGE48,AGE49,AGE50,AGE51,AGE52,AGE53,AGE54,AGE55,AGE56,AGE57,AGE58,AGE59,AGE60,AGE61,AGE62,AGE63,AGE64,AGE65,AGE66,AGE67,AGE68,AGE69,AGE70,AGE71,AGE72,AGE73,AGE74,AGE75,AGE76,AGE77,AGE78,AGE79,AGE80,AGE81,AGE82,AGE83,AGE84,AGE85,AGE86,AGE87,AGE88,AGE89,AGE90+,,
S01013143,IZ04 - 03,West Dunbartonshire,788,,6,9,8,12,6,7,6,8,6,7,8,10,5,12,7,6,3,7,7,12,3,7,9,14,13,11,25,16,12,11,7,8,12,4,9,1,11,15,11,22,5,3,9,8,14,8,15,7,12,5,17,6,14,16,12,8,10,13,11,9,9,8,14,10,6,7,3,4,11,15,11,10,10,12,9,5,9,4,6,4,6,3,6,0,4,4,3,2,5,4,9,,
S01013144,IZ04 - 04,West Dunbartonshire,873,,5,13,8,3,10,10,0,7,7,10,4,13,8,11,4,6,6,10,8,10,6,13,10,3,7,19,5,18,17,9,14,9,17,11,6,9,17,4,11,8,9,9,13,3,6,7,6,16,14,16,15,18,22,14,8,8,10,8,15,15,12,11,17,6,6,10,10,13,15,14,15,20,12,11,11,10,7,10,7,7,5,8,5,7,2,4,7,6,2,2,3,,
S01013145,IZ04 - 05,West Dunbartonshire,721,,4,10,11,4,4,13,8,9,2,12,6,4,6,4,8,10,4,11,6,12,5,12,12,11,14,15,4,14,6,7,7,8,12,11,11,9,14,10,13,3,10,11,13,10,9,7,15,4,14,15,11,6,9,11,8,8,4,10,10,9,8,5,12,10,12,13,3,4,8,10,12,7,11,4,3,8,7,7,6,3,0,6,2,5,4,3,2,2,0,3,1,,
S01013146,IZ04 - 06,West Dunbartonshire,463,,1,9,0,5,6,3,7,3,8,4,6,8,6,6,5,8,5,5,6,9,6,6,6,4,3,9,3,5,6,5,2,0,7,7,3,8,8,9,8,3,7,7,11,13,3,4,11,13,7,5,7,6,6,6,2,11,2,5,3,4,0,2,3,8,5,6,7,8,7,3,6,3,4,4,7,5,7,4,3,5,2,2,4,1,1,1,0,0,0,0,4,,
S01013147,IZ05 - 01,West Dunbartonshire,690,,7,12,7,9,4,8,6,4,7,11,10,7,3,11,7,6,5,11,8,6,8,18,8,12,13,10,8,2,2,8,9,6,10,6,4,5,6,5,6,5,7,6,8,5,7,6,6,7,9,9,16,23,12,20,6,19,8,13,9,9,13,12,9,7,6,9,8,5,9,7,8,5,5,6,2,6,4,3,4,9,5,7,3,3,6,5,1,3,3,3,9,,
S01013148,IZ05 - 02,West Dunbartonshire,745,,11,11,5,5,8,3,4,6,7,10,1,7,3,4,10,5,8,6,7,4,9,6,7,10,8,12,5,12,5,16,7,13,8,8,6,8,15,10,5,8,8,11,8,9,4,9,6,11,8,15,8,6,14,10,3,11,14,14,15,11,13,15,8,10,11,8,10,7,10,6,12,10,10,9,18,9,8,9,6,3,5,5,5,9,4,8,1,8,2,0,8,,
S01013149,IZ05 - 03,West Dunbartonshire,807,,7,13,6,2,8,6,15,12,8,12,9,6,9,5,7,7,3,9,1,10,5,11,8,17,15,7,20,4,9,14,14,21,9,8,12,13,10,12,8,12,19,6,12,11,12,12,19,16,13,15,11,3,17,9,9,8,15,7,13,9,11,12,11,7,9,12,9,13,1,10,10,9,11,2,8,3,6,2,3,3,1,5,2,4,7,5,4,3,2,0,2,,
S01013150,IZ05 - 04,West Dunbartonshire,789,,8,5,11,8,6,7,6,9,8,1,3,5,11,7,5,9,6,10,6,9,2,5,7,7,12,6,12,9,8,5,5,13,13,2,8,8,7,5,4,5,10,11,5,16,8,3,6,13,10,22,8,15,15,17,17,4,9,13,10,7,7,11,11,10,17,12,13,9,20,17,18,9,21,14,14,5,4,13,8,7,6,7,2,7,3,3,3,3,2,1,10,,
S01013151,IZ05 - 05,West Dunbartonshire,554,,2,6,4,4,10,6,5,5,9,8,8,4,7,5,6,2,7,6,5,5,10,7,10,5,4,6,3,4,2,3,6,6,7,6,10,4,3,8,8,6,3,8,2,6,12,15,4,6,11,5,17,8,11,4,5,16,12,12,6,12,7,4,6,9,4,4,5,12,6,8,9,7,3,3,4,7,8,3,5,3,5,1,4,7,4,3,0,1,0,3,2,,
S01013152,IZ06 - 01,West Dunbartonshire,922,,4,9,7,10,16,8,16,6,10,14,9,7,8,9,12,13,15,13,11,11,17,17,13,8,9,7,12,14,2,8,9,6,3,7,11,13,14,8,11,9,13,13,13,10,14,21,7,17,15,20,11,18,27,16,10,14,14,10,9,12,16,8,17,12,8,9,10,6,10,19,11,6,8,10,4,12,7,6,5,3,8,6,12,5,5,1,4,0,1,1,2,,
S01013153,IZ06 - 02,West Dunbartonshire,865,,6,10,10,14,21,10,15,15,20,12,18,11,17,13,8,11,8,11,8,5,10,11,10,13,21,12,7,12,17,14,7,12,20,11,8,10,9,5,8,19,7,11,4,15,18,16,8,11,8,9,14,14,14,6,15,18,8,14,14,6,9,8,7,8,9,11,12,14,3,6,10,8,3,3,5,3,5,5,5,3,1,0,2,1,3,1,2,0,1,2,6,,
S01013154,IZ06 - 03,West Dunbartonshire,909,,15,8,12,11,7,9,16,9,15,10,7,10,9,16,7,7,14,6,10,15,12,13,18,10,10,18,13,14,13,3,12,16,18,16,19,18,22,9,10,11,3,4,16,9,13,13,8,10,9,16,15,16,18,15,14,24,9,13,11,11,12,11,12,9,13,5,12,4,10,9,7,4,3,4,8,1,2,2,6,3,7,4,1,3,0,8,3,3,2,1,5,,
S01013155,IZ06 - 04,West Dunbartonshire,859,,11,20,12,15,25,17,14,15,20,17,11,14,13,7,11,13,11,9,13,12,17,19,14,29,9,8,13,17,14,18,10,24,12,16,17,10,10,13,15,16,12,13,1,4,10,9,5,10,8,12,4,15,12,12,7,7,8,16,9,6,13,7,10,7,4,3,6,6,6,5,6,6,3,0,3,0,0,2,0,4,0,0,0,0,0,2,1,1,1,1,1,,
S01013156,IZ06 - 05,West Dunbartonshire,748,,13,8,11,10,7,8,6,6,7,6,16,10,2,23,11,16,9,11,12,12,7,18,21,17,19,8,8,7,9,11,17,3,11,12,12,10,10,13,9,5,4,10,6,7,11,8,17,12,10,13,11,17,6,3,11,20,22,7,8,9,9,7,10,8,6,3,2,4,1,6,5,2,1,12,3,0,2,4,4,0,2,2,1,1,2,0,3,2,0,1,2,,
S01013157,IZ06 - 06,West Dunbartonshire,944,,16,11,16,8,15,18,19,17,18,17,16,19,18,17,13,16,12,15,15,9,6,8,7,18,12,7,16,16,21,11,24,20,13,22,11,14,11,7,12,2,9,11,7,12,18,9,17,8,11,14,16,7,12,14,11,8,10,4,23,14,13,12,10,6,6,13,7,10,7,9,9,8,3,7,3,2,0,6,2,1,0,3,1,0,2,1,1,0,0,2,2,,
S01013158,IZ07 - 01,West Dunbartonshire,626,,2,4,6,6,5,6,2,9,10,6,9,4,3,7,7,8,2,16,8,12,7,8,5,11,10,7,6,2,3,3,11,9,3,4,1,5,3,6,7,4,2,3,8,4,8,5,11,11,9,7,9,18,4,11,8,13,19,9,13,9,8,5,4,7,6,10,10,8,8,8,6,2,6,0,5,6,6,7,10,8,6,6,7,3,2,6,5,5,6,2,20,,
S01013159,IZ07 - 02,West Dunbartonshire,616,,5,1,2,4,6,7,3,7,6,9,6,6,6,8,4,4,2,5,4,4,6,2,7,4,6,12,4,5,10,5,5,4,2,6,2,6,7,5,4,2,0,5,4,4,5,6,15,6,5,8,9,10,11,10,10,9,17,8,18,17,24,15,17,5,8,9,6,17,15,15,9,8,7,2,21,7,7,5,2,4,5,6,5,6,0,4,1,0,2,2,2,,
S01013160,IZ07 - 03,West Dunbartonshire,696,,4,4,9,9,9,8,10,7,11,9,9,4,12,12,4,15,13,4,8,2,8,6,5,3,8,9,5,5,0,2,8,7,6,11,5,2,4,9,8,6,7,11,9,11,14,9,10,14,10,14,12,9,6,9,14,13,5,12,14,13,15,10,12,17,4,7,9,8,7,14,5,11,4,9,10,12,12,6,7,2,4,4,3,0,0,3,0,1,0,1,3,,
S01013161,IZ07 - 04,West Dunbartonshire,"1,009",,12,15,11,6,10,17,7,19,16,11,17,8,15,1,21,10,10,11,10,11,2,10,11,2,17,15,15,11,4,10,15,17,19,14,17,16,22,11,16,15,14,13,12,15,12,9,19,13,21,9,9,14,18,14,11,15,16,10,16,17,9,8,9,12,7,5,19,13,15,11,6,11,14,11,10,4,2,7,10,6,5,4,1,5,8,8,2,3,8,1,1,,
S01013162,IZ07 - 05,West Dunbartonshire,788,,10,4,15,10,7,13,6,13,5,19,8,6,8,5,4,7,5,5,6,5,7,7,6,10,8,9,10,7,2,18,7,6,10,6,9,7,13,6,4,6,12,15,8,6,12,9,3,9,7,14,20,12,10,14,15,14,8,6,11,10,11,9,9,8,15,5,10,13,10,18,13,8,13,12,13,13,2,8,9,8,7,4,7,7,4,1,3,4,0,2,8,,
S01013163,IZ07 - 06,West Dunbartonshire,655,,3,5,4,5,6,4,8,7,6,7,5,4,8,7,5,7,3,13,7,7,13,13,11,6,7,7,12,4,7,16,12,5,7,2,1,5,7,8,5,2,6,5,6,8,6,12,5,5,12,5,15,8,7,13,15,6,20,9,7,9,10,8,17,15,4,10,21,12,8,13,8,9,10,12,12,4,5,3,3,3,6,2,1,3,3,0,0,1,1,0,1,,
S01013164,IZ08 - 01,West Dunbartonshire,"1,009",,8,6,9,13,4,11,13,11,6,20,22,13,16,15,12,18,6,8,6,15,11,11,22,10,12,7,6,13,4,11,13,14,9,8,12,7,9,9,8,16,12,11,9,11,16,8,19,8,31,21,26,22,17,20,6,8,13,25,21,15,16,10,17,15,13,10,9,19,6,17,5,11,14,5,2,4,11,5,7,6,7,6,8,3,5,2,1,1,3,3,5,,
S01013165,IZ08 - 02,West Dunbartonshire,842,,9,6,6,4,10,1,7,4,9,10,6,8,6,6,9,4,6,6,8,10,10,9,11,9,10,12,16,9,9,4,10,5,9,6,2,7,4,7,8,7,10,9,14,8,11,7,12,9,8,19,13,11,16,17,13,12,18,6,23,16,16,5,13,12,10,7,16,11,20,9,14,14,15,19,4,9,7,4,7,7,4,11,12,6,11,4,4,4,7,2,7,,
S01013166,IZ08 - 03,West Dunbartonshire,634,,11,6,5,9,11,5,3,2,2,0,16,10,2,9,1,5,10,10,10,4,5,10,4,22,6,13,14,13,19,17,10,8,16,10,2,13,2,5,8,2,2,8,3,7,7,13,7,9,8,9,5,6,13,20,10,10,14,3,10,12,4,11,11,9,7,7,8,7,8,4,5,4,3,2,4,3,4,2,1,7,4,4,1,2,2,2,0,1,0,0,1,,
S01013167,IZ08 - 04,West Dunbartonshire,646,,13,16,11,14,10,7,7,10,3,5,1,2,0,6,2,3,9,6,0,6,10,5,12,5,7,16,13,17,13,5,11,9,15,12,8,11,8,10,10,9,3,19,3,9,3,6,10,4,21,12,14,12,5,8,19,9,5,13,9,12,14,5,6,8,9,7,7,6,4,5,1,1,3,5,0,2,1,4,1,0,5,1,3,4,1,3,1,3,0,2,1,,
S01013168,IZ08 - 05,West Dunbartonshire,948,,14,7,10,11,9,12,19,9,15,22,19,15,17,13,21,11,5,16,10,7,8,8,13,10,8,4,4,10,11,12,12,13,16,8,12,15,10,3,14,7,8,13,6,10,8,9,13,17,5,13,12,19,5,16,10,13,15,9,23,7,16,13,11,16,12,13,4,4,10,5,7,15,7,7,8,6,11,9,8,7,9,9,5,7,3,7,3,5,1,1,18,,
S01013169,IZ08 - 06,West Dunbartonshire,873,,9,8,8,7,13,10,13,10,11,13,9,10,9,8,10,8,4,8,7,5,10,2,8,13,16,6,19,5,13,12,14,9,10,9,21,11,5,7,10,13,7,10,11,8,2,13,5,9,15,15,10,14,24,12,9,14,14,16,17,9,20,12,8,3,13,12,12,9,14,14,8,7,6,6,8,8,4,7,17,5,4,12,2,4,4,9,5,5,1,1,6,,
S01013170,IZ08 - 07,West Dunbartonshire,525,,4,8,9,5,6,8,6,7,4,2,6,5,5,5,5,10,7,8,4,4,3,6,12,7,12,3,10,11,5,5,8,19,2,2,9,9,3,2,5,7,2,10,8,6,4,3,6,15,8,8,6,2,11,12,18,5,2,14,8,8,3,5,8,6,4,6,6,8,2,6,4,4,6,4,0,2,5,0,6,2,1,3,1,3,1,5,3,2,1,1,3,,
S01013171,IZ09 - 01,West Dunbartonshire,611,,4,4,3,2,6,11,7,6,9,8,7,9,5,6,12,10,4,8,15,6,6,10,13,14,7,4,10,10,1,4,4,5,6,5,2,3,6,8,4,7,5,9,10,13,8,9,12,10,15,18,14,13,18,20,13,9,11,15,13,10,7,4,5,4,3,3,3,7,3,7,1,8,2,4,1,2,3,1,4,5,2,2,5,2,2,2,0,0,0,0,3,,
S01013172,IZ09 - 02,West Dunbartonshire,686,,7,3,6,6,11,6,9,7,9,12,8,9,8,11,8,5,8,6,11,7,7,10,3,7,12,10,4,2,11,8,4,6,3,5,15,10,11,4,7,7,8,5,10,4,11,7,14,14,8,7,10,13,7,12,10,11,9,13,9,17,8,13,13,10,13,12,7,14,3,8,5,10,4,11,2,3,5,8,2,2,6,5,0,2,5,1,4,2,1,0,5,,
S01013173,IZ09 - 03,West Dunbartonshire,768,,8,7,5,4,4,8,9,5,5,4,8,4,17,4,3,10,9,8,17,5,8,15,11,9,10,16,12,3,5,11,5,12,11,12,20,9,10,4,2,10,7,6,8,12,6,3,12,11,16,24,23,10,13,12,17,9,16,12,11,13,7,16,8,8,15,11,10,10,5,9,15,1,6,7,6,3,9,15,4,2,1,1,4,3,2,2,5,1,0,0,2,,
S01013174,IZ09 - 04,West Dunbartonshire,758,,5,5,5,10,3,7,10,2,7,5,2,12,10,7,6,15,10,12,15,18,16,11,11,13,7,8,7,12,6,6,4,9,5,4,3,11,14,9,9,4,10,8,4,12,12,9,14,3,14,12,22,10,17,23,20,17,14,12,14,20,4,21,12,18,9,11,8,8,6,6,7,6,2,3,6,2,2,3,8,0,2,3,1,1,0,4,1,0,0,0,2,,
S01013175,IZ09 - 05,West Dunbartonshire,777,,2,2,7,9,5,7,10,10,10,22,7,14,18,5,9,12,13,9,7,6,8,18,8,3,4,10,2,6,5,14,4,9,8,3,4,3,1,6,12,7,16,6,12,12,11,14,7,19,18,13,18,11,10,11,17,20,21,20,14,16,11,7,13,8,7,6,15,6,3,11,3,2,7,5,11,4,4,4,5,4,4,6,2,4,5,2,2,1,1,1,8,,
S01013176,IZ09 - 06,West Dunbartonshire,720,,5,7,5,6,6,7,3,9,1,8,5,4,6,4,2,1,7,4,3,4,6,10,3,5,11,14,9,10,7,6,13,7,10,8,7,10,6,10,6,6,12,2,6,9,14,9,13,8,8,8,7,15,12,6,2,13,11,16,10,19,15,13,9,10,4,11,7,17,8,11,11,10,6,10,13,10,2,9,8,8,10,6,5,7,6,3,2,3,7,1,17,,
S01013177,IZ09 - 07,West Dunbartonshire,597,,8,7,5,4,9,2,4,2,6,11,1,10,6,7,6,1,5,5,2,4,6,12,4,10,11,8,6,8,10,7,6,7,6,8,10,18,9,5,3,10,6,7,5,4,2,8,8,4,9,14,7,5,15,9,12,6,11,10,9,18,14,4,9,8,5,5,10,9,6,6,13,8,3,7,3,6,1,8,2,1,3,5,7,3,1,2,1,2,1,2,4,,
S01013178,IZ10 - 01,West Dunbartonshire,781,,6,3,5,6,9,10,6,7,7,9,6,8,3,3,9,5,6,15,9,5,6,2,7,0,10,8,12,7,7,9,13,23,5,12,15,6,10,9,18,12,4,10,7,6,11,16,7,13,12,14,8,12,18,15,20,7,10,11,11,9,5,18,14,15,17,11,10,12,5,12,9,16,9,6,7,9,5,7,7,9,5,1,2,2,7,3,2,5,2,0,0,,
S01013179,IZ10 - 02,West Dunbartonshire,826,,8,12,10,10,7,12,13,6,11,3,3,5,4,0,5,8,7,6,4,7,7,4,8,10,19,17,16,4,12,10,11,8,10,14,11,11,5,6,7,9,9,9,5,8,6,8,8,5,11,18,12,13,14,10,22,15,19,15,12,19,10,14,16,18,13,15,11,9,7,23,18,17,15,9,3,5,7,2,1,4,8,2,2,3,4,0,6,1,2,2,1,,
S01013180,IZ10 - 03,West Dunbartonshire,386,,4,0,4,2,7,3,4,2,5,1,4,4,8,1,5,3,6,4,4,8,4,0,3,6,5,2,9,10,3,6,3,8,5,0,5,7,10,3,1,2,1,2,3,2,11,6,8,7,5,3,14,9,6,10,5,11,6,5,13,7,7,8,6,0,4,5,5,7,5,5,2,1,6,5,4,1,1,0,2,2,0,1,2,0,0,1,1,0,0,0,0,,
S01013181,IZ10 - 04,West Dunbartonshire,679,,6,3,5,2,4,6,2,5,4,3,8,3,6,8,7,2,9,12,4,4,9,8,5,6,3,5,8,7,12,7,5,8,10,5,2,0,8,8,2,6,5,6,8,10,14,7,12,7,14,12,13,13,12,17,15,15,15,12,15,15,11,11,17,8,15,8,17,9,7,10,14,8,4,4,1,5,13,4,5,7,7,7,3,8,0,3,2,0,3,2,2,,
S01013182,IZ10 - 05,West Dunbartonshire,735,,6,8,13,6,5,3,8,4,6,9,7,5,7,9,3,3,9,9,8,9,14,9,4,11,7,9,7,6,14,9,11,4,9,8,7,12,12,9,8,12,14,5,1,5,5,14,9,11,8,15,13,7,14,12,3,8,14,13,9,13,13,8,11,13,4,9,11,20,4,13,10,5,12,5,10,5,9,3,9,7,2,6,3,5,5,10,0,5,0,1,5,,
S01013183,IZ10 - 06,West Dunbartonshire,831,,3,6,5,9,8,4,5,8,15,11,8,10,6,9,16,10,5,5,4,7,11,5,6,8,3,4,4,1,9,6,14,0,5,9,11,11,5,7,4,8,7,12,4,11,16,8,14,7,11,10,8,11,16,14,14,14,18,18,14,11,15,20,14,20,16,16,14,13,13,13,11,14,8,8,8,5,3,3,5,8,7,2,9,11,6,12,2,3,7,6,16,,
S01013184,IZ11 - 01,West Dunbartonshire,511,,7,13,6,6,9,8,5,12,10,6,8,3,4,5,3,7,3,6,5,12,7,8,8,6,5,13,9,14,13,9,9,7,11,9,1,5,5,15,8,7,5,7,10,3,2,1,6,5,10,10,4,13,0,15,7,2,11,6,5,2,6,6,4,10,3,4,3,7,2,1,1,4,2,3,0,1,3,1,3,1,0,2,3,0,0,2,1,2,0,2,3,,
S01013185,IZ11 - 02,West Dunbartonshire,765,,10,10,9,11,9,14,14,14,12,12,14,11,7,8,10,6,13,13,15,9,8,9,14,9,16,9,11,8,8,11,15,10,7,14,4,11,18,9,2,6,6,15,10,6,4,12,17,14,8,9,15,16,10,9,9,13,10,5,15,12,3,10,9,4,10,3,7,2,3,3,10,1,6,4,7,4,6,5,2,4,4,4,3,5,1,1,2,3,1,0,3,,
S01013186,IZ11 - 03,West Dunbartonshire,732,,14,9,10,7,12,9,14,14,8,10,5,9,17,7,9,10,16,12,1,13,15,12,15,9,14,7,11,17,11,18,11,4,10,5,14,7,6,10,13,8,9,6,8,9,11,5,7,12,11,11,13,9,13,10,17,3,14,8,15,13,12,13,6,8,1,6,4,5,3,4,5,2,7,6,4,3,2,1,0,0,4,0,5,0,0,1,0,0,0,1,2,,
S01013187,IZ11 - 04,West Dunbartonshire,851,,9,9,7,16,11,14,15,13,11,11,11,11,14,5,15,13,5,9,10,8,5,6,6,15,14,13,12,18,10,11,18,19,15,14,11,12,8,13,19,9,16,9,5,8,10,9,9,13,8,14,10,17,14,15,17,9,17,7,9,13,14,12,8,6,13,7,4,3,6,11,5,3,6,6,9,2,4,3,9,7,8,3,1,0,4,1,1,1,0,0,0,,
S01013188,IZ11 - 05,West Dunbartonshire,832,,11,9,6,9,8,15,8,13,15,1,9,13,7,17,8,8,11,10,11,7,11,10,10,5,14,7,11,10,14,11,13,12,5,5,16,8,21,2,7,16,0,9,12,11,15,19,11,16,12,12,18,18,8,12,17,14,16,13,8,12,5,12,12,10,8,7,4,6,11,8,7,8,2,1,13,3,6,9,10,4,2,3,5,3,4,6,2,0,2,1,1,,
S01013189,IZ11 - 06,West Dunbartonshire,592,,3,4,5,4,9,2,9,7,6,8,7,6,8,10,4,6,6,8,9,3,8,5,8,5,2,9,10,2,8,9,3,5,7,6,13,7,3,6,9,3,0,3,3,6,6,7,6,11,7,12,12,13,4,7,13,14,16,6,10,19,9,9,11,9,8,6,7,7,4,9,7,4,5,4,8,3,6,7,4,9,6,4,3,1,3,3,2,1,0,1,5,,
S01013190,IZ11 - 07,West Dunbartonshire,709,,10,3,7,2,3,9,3,5,11,6,11,12,11,13,7,2,10,7,13,6,9,3,5,7,6,8,9,11,17,11,5,16,4,2,11,8,5,15,13,4,5,5,6,11,12,8,17,7,10,10,13,18,17,11,14,13,10,13,16,10,10,10,4,4,6,7,10,7,5,15,8,9,3,5,1,4,9,5,9,6,4,3,2,5,3,0,1,0,1,2,5,,
S01013191,IZ12 - 01,West Dunbartonshire,"1,325",,11,18,18,16,17,21,16,17,12,14,13,23,13,19,23,28,7,26,20,9,7,11,18,14,10,12,10,11,14,15,12,13,9,15,17,17,16,25,19,17,10,21,21,23,17,15,40,31,34,28,21,23,16,20,25,29,21,27,12,13,20,19,10,14,11,13,12,10,16,12,16,15,9,6,7,7,3,11,4,3,4,3,4,5,5,2,0,4,1,2,7,,
S01013192,IZ12 - 02,West Dunbartonshire,990,,8,9,5,9,5,7,9,13,3,10,2,14,8,5,10,8,9,4,9,6,11,6,11,7,7,13,19,10,13,16,8,10,11,15,23,13,15,11,12,6,11,11,17,5,2,13,12,14,15,6,14,8,19,18,22,21,15,15,18,22,15,18,16,16,15,12,10,9,12,15,14,7,9,9,11,3,11,5,9,12,9,10,8,15,2,7,3,8,5,7,20,,
S01013193,IZ12 - 03,West Dunbartonshire,718,,6,12,3,3,8,7,6,5,9,4,7,5,5,5,6,1,5,5,3,7,7,10,7,8,7,9,12,14,15,18,11,9,8,14,10,8,12,7,3,6,5,17,9,9,6,12,4,7,23,10,12,15,11,7,10,12,12,9,12,5,11,16,8,12,7,15,13,2,10,12,13,11,9,8,3,4,2,3,7,4,4,6,2,3,8,3,5,0,0,0,3,,
S01013194,IZ12 - 04,West Dunbartonshire,529,,7,8,0,4,4,5,3,7,7,4,5,5,4,2,6,2,7,3,1,2,4,1,6,7,3,13,13,19,13,1,10,5,15,7,15,9,5,10,1,6,11,4,8,9,7,6,11,3,12,10,14,17,9,9,5,8,10,6,9,11,4,4,10,5,8,2,4,5,10,7,6,3,6,3,4,4,2,1,4,2,0,1,0,3,0,0,1,1,0,0,1,,
S01013195,IZ12 - 05,West Dunbartonshire,992,,4,11,8,8,15,5,10,2,2,1,6,4,9,5,5,7,5,4,11,9,12,10,13,7,19,19,26,30,14,21,26,20,10,12,19,17,15,11,11,16,1,14,12,6,14,26,18,7,22,8,17,17,12,13,12,12,8,14,23,17,12,8,9,13,11,15,10,9,6,4,2,8,3,12,10,9,9,13,4,7,11,9,4,9,10,5,9,7,7,0,15,,
S01013196,IZ12 - 06,West Dunbartonshire,595,,8,8,4,4,3,7,2,6,7,4,5,2,3,0,5,2,3,2,0,0,7,4,5,5,9,11,6,8,17,12,8,11,21,9,9,3,15,9,2,9,10,10,4,7,10,9,5,16,12,10,5,7,14,12,9,11,14,8,7,9,8,12,9,8,6,6,7,6,6,4,4,5,5,1,7,3,5,3,5,5,1,5,4,5,4,2,4,0,3,2,6,,
S01013197,IZ12 - 07,West Dunbartonshire,534,,5,4,5,6,0,2,3,3,6,5,4,4,5,8,9,4,3,3,5,2,6,1,1,2,3,0,4,4,11,5,6,3,10,9,2,0,1,2,2,1,2,9,6,3,2,5,11,9,12,12,4,10,3,9,7,12,7,12,8,8,10,13,7,11,7,10,16,11,14,11,7,6,9,11,8,6,4,5,3,8,6,3,6,4,4,5,3,2,3,1,10,,
S01013198,IZ12 - 08,West Dunbartonshire,"1,327",,22,21,24,30,17,28,15,21,17,18,14,6,9,15,11,9,4,8,6,11,15,10,9,13,20,11,22,11,14,11,19,29,24,29,28,27,42,34,21,14,24,12,12,17,17,22,18,17,22,15,6,20,14,20,17,16,18,10,20,19,25,22,8,27,16,12,11,7,10,16,16,15,4,4,7,4,3,13,6,3,9,2,9,2,4,5,3,4,4,3,8,,
S01013199,IZ13 - 01,West Dunbartonshire,965,,8,6,3,2,11,0,3,12,6,8,1,5,7,0,11,8,5,11,12,12,4,4,13,12,7,16,4,10,9,9,7,6,10,8,16,14,5,8,11,10,11,8,6,12,18,7,12,18,5,6,14,15,20,17,23,20,19,10,18,23,19,23,18,19,13,10,22,13,16,14,22,21,14,16,11,16,10,14,15,8,12,7,5,5,5,3,3,3,7,4,1,,
S01013200,IZ13 - 02,West Dunbartonshire,738,,11,11,10,10,12,17,7,8,16,6,7,10,11,9,7,8,10,4,6,12,6,11,11,13,3,11,3,11,7,4,11,14,8,13,9,9,9,8,11,5,10,12,7,7,9,7,17,6,5,10,9,13,13,11,14,13,9,3,4,15,11,7,6,8,3,12,8,5,5,8,9,7,9,10,1,4,6,4,1,3,4,4,7,1,5,3,6,2,1,0,15,,
S01013201,IZ13 - 03,West Dunbartonshire,822,,7,15,14,12,11,17,15,13,11,18,10,9,12,13,10,5,15,12,11,16,9,19,6,13,14,14,5,11,8,9,9,5,17,11,13,12,10,10,5,9,5,10,14,11,6,13,12,8,13,3,18,13,12,16,17,8,13,12,10,10,6,16,13,4,8,7,11,5,3,6,10,4,2,7,5,3,5,6,5,2,4,2,0,5,1,0,0,0,1,2,0,,
S01013202,IZ13 - 04,West Dunbartonshire,439,,1,1,5,2,11,4,3,1,7,7,6,4,4,0,1,5,5,9,3,5,2,4,3,4,4,8,10,15,6,0,7,5,7,4,5,4,8,5,5,2,4,4,6,3,6,5,7,6,3,9,5,3,8,6,3,17,9,10,5,2,1,7,7,3,8,9,6,4,10,5,5,5,10,2,4,6,5,4,7,0,1,4,1,1,2,0,0,0,2,1,6,,
S01013203,IZ13 - 05,West Dunbartonshire,648,,7,4,5,6,15,3,10,12,6,11,5,9,9,11,5,3,6,4,2,8,3,4,8,16,4,10,8,10,3,10,5,6,13,4,11,7,8,12,7,6,7,10,9,11,7,5,2,6,12,3,10,20,11,11,12,16,18,14,12,16,6,6,9,11,10,5,10,6,12,11,6,4,1,2,0,6,3,1,7,4,3,2,0,3,2,0,1,1,1,0,7,,
S01013204,IZ13 - 06,West Dunbartonshire,767,,6,11,7,9,4,8,10,9,11,11,15,9,6,10,9,6,20,9,12,7,8,5,13,8,4,9,10,12,7,15,8,7,11,6,9,3,5,4,9,2,12,5,19,16,18,17,16,13,17,12,14,20,18,14,8,6,13,13,9,19,14,8,13,7,4,7,5,6,6,13,6,8,6,8,6,4,1,4,0,3,1,4,3,2,2,1,1,0,1,0,0,,
