"LAD11NM","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Crawley",42766,43342,43921,44253,44833,45387,45014,45846,45853,46466,47084,47711,48400,49212,50356,51726,52309,52579
"Croydon",124622,126101,126222,127906,129404,128802,130006,131074,130417,130706,130810,131343,132889,135876,138634,140790,140680,141166
"Dacorum",69257,70146,71054,72931,74493,74439,72111,72974,73414,74252,74986,75961,77197,78712,79878,81038,81692,82233
"Darlington",38412,39736,40850,42177,43395,43743,44011,44493,44792,44639,48986,48707,49741,50661,50827,50775,50884,50712
"Dartford",38309,39606,40549,41028,42942,42941,43970,44985,45498,45758,47594,48522,49832,51317,52024,53257,53935,54687
"Daventry",36622,38140,39003,40211,41231,41484,42088,42597,42991,43510,44129,44349,44861,45997,46857,47922,49121,50265
"Denbighshire",40053,41835,42907,44570,45378,45353,46128,46215,46174,46387,46421,46474,46988,47873,48287,48868,49394,49917
"Derby",95251,98094,100641,101021,108571,109412,110748,111565,113037,110938,109357,109190,111562,109916,112609,116083,118226,119099
"Derbyshire Dales",34435,35458,36212,37085,37889,38001,38540,38839,39128,39469,39809,39715,40042,40557,40980,41484,41755,41939
"Doncaster",110032,113583,115499,119844,124412,124340,126443,128666,128620,128430,129459,129965,133727,137933,140282,143560,145577,148615
