"country","year","fuel","cars","AvgCO2_mean","AvgAge_mean"
"S",2009,"PETROL",1614191,166.289908787271,6.64562810450115
"S",2010,"DIESEL",671151,157.706196287271,5.17853520240826
"S",2010,"ELECTRIC DIESEL",1,192,5.021049
"S",2010,"HYBRID ELECTRIC",4278,122.649225092873,2.40805319555192
"S",2010,"OTHER",2820,219.038164846981,9.76302073438095
"S",2010,"PETROL",1572540,164.221890940367,6.87035514306193
"S",2011,"DIESEL",715096,155.679157296445,5.35126875788417
"S",2011,"ELECTRIC DIESEL",2,192,8.32289
"S",2011,"HYBRID ELECTRIC",5168,119.327103454681,2.80349214007421
"S",2011,"OTHER",2769,214.765245577689,10.318506839236
"S",2011,"PETROL",1538012,162.065642932913,7.07139183686927
"S",2012,"DIESEL",761678,153.158806738351,5.52288846853047
"S",2012,"ELECTRIC DIESEL",65,106.48395,0.842544507963636
"S",2012,"HYBRID ELECTRIC",6134,115.426015549789,3.16651393560531
"S",2012,"OTHER",2738,209.489399185304,10.8644529897812
"S",2012,"PETROL",1511490,159.505412327982,7.2610719478211
"S",2013,"DIESEL",819150,149.634577577061,5.60097642379928
"S",2013,"ELECTRIC DIESEL",167,104.468584552846,1.05954425463415
"S",2013,"HYBRID ELECTRIC",7480,110.793554675874,3.39591204843438
"S",2013,"OTHER",2715,191.198453249242,11.0366249061771
"S",2013,"PETROL",1486958,156.438939635894,7.39425449770642
"S",2014,"DIESEL",883538,145.879007355893,5.65558329022082
"S",2014,"ELECTRIC DIESEL",258,102.952188571429,1.7522380272
"S",2014,"HYBRID ELECTRIC",8967,105.78196421454,3.57533981500838
"S",2014,"OTHER",2985,151.389972530608,10.2356423770303
"S",2014,"PETROL",1471214,153.256297333716,7.49227557296445
"S",2015,"DIESEL",936646,142.103704129624,5.72014822325781
"S",2015,"ELECTRIC DIESEL",393,105.351272457627,2.2103048940678
"S",2015,"HYBRID ELECTRIC",11146,99.9909442654908,3.64133887226704
"S",2015,"OTHER",3307,113.273261973022,9.23643054723792
"S",2015,"PETROL",1440514,149.735886896057,7.53750761620072
"S",2016,"DIESEL",987268,138.617093031259,5.82378956290508
"S",2016,"ELECTRIC DIESEL",452,104.348094402985,2.8394242608209
"S",2016,"HYBRID ELECTRIC",13943,95.9849328873978,3.66898307361995
"S",2016,"OTHER",3690,82.3470654311077,8.23360924885862
"S",2016,"PETROL",1425643,146.255629261649,7.56842282580645
"S",2017,"DIESEL",1023361,135.847275741935,5.9843179144086
"S",2017,"ELECTRIC DIESEL",497,101.493569585987,3.36110279076433
"S",2017,"HYBRID ELECTRIC",18836,91.9843790867839,3.52492425050699
"S",2017,"OTHER",4489,57.5303453918664,7.02172031173696
"S",2017,"PETROL",1413177,142.982603470032,7.58086138958991
"S",2018,"DIESEL",1032791,134.132582642589,6.26201580032995
"S",2018,"ELECTRIC DIESEL",495,99.605189687787,4.12625055535681
"S",2018,"HYBRID ELECTRIC",26230,89.4476779878083,3.36234765506416
"S",2018,"OTHER",5451,39.5734694461561,6.20782309330209
"S",2018,"PETROL",1416133,139.961908615426,7.54715616361358
"W",2001,"DIESEL",210095,163.287636713666,5.95875518867925
"W",2001,"HYBRID ELECTRIC",22,116.25,0.767761936842105
"W",2001,"OTHER",938,183.638888888889,5.96767996284389
"W",2001,"PETROL",1000437,172.739203356057,7.4090602325825
"W",2002,"DIESEL",234758,159.971607930672,6.0535699552935
"W",2002,"HYBRID ELECTRIC",33,118.285714285714,1.70923381875
"W",2002,"OTHER",1180,180.75,6.46231548487179
"W",2002,"PETROL",1028786,172.366154426401,7.27287606181247
"W",2003,"DIESEL",259789,159.594076415094,6.04630219654088
"W",2003,"HYBRID ELECTRIC",39,115.5,2.90054046333333
"W",2003,"OTHER",1482,185.0690109375,7.17189161383074
"W",2003,"PETROL",1039906,171.593831587218,7.15994968203248
"W",2004,"DIESEL",291114,159.81657522263,5.97404689664746
"W",2004,"HYBRID ELECTRIC",79,108.774193548387,2.08061529298701
"W",2004,"OTHER",1837,187.675571138211,7.55317448039886
"W",2004,"PETROL",1061254,171.366654035639,7.11003980041907
"W",2005,"DIESEL",319565,159.847999475891,5.93450716808176
"W",2005,"HYBRID ELECTRIC",203,123.049101796407,1.40775774564972
"W",2005,"OTHER",2127,188.743918918919,8.00555927824957
"W",2005,"PETROL",1067512,171.063713259958,7.15783513462546
"W",2006,"DIESEL",343319,159.680393294919,5.87455549958093
"W",2006,"HYBRID ELECTRIC",361,126.428788,1.65865353916084
"W",2006,"OTHER",2380,196.943943522267,8.44247331613169
"W",2006,"PETROL",1051195,170.400535620744,7.23005806547931
"W",2007,"DIESEL",370324,159.453084127816,5.89387124415925
"W",2007,"HYBRID ELECTRIC",599,128.314673737374,1.78459717940741
"W",2007,"OTHER",2687,202.788974615385,8.81588629037433
"W",2007,"PETROL",1044022,169.403097695128,7.38893868465165
"W",2008,"DIESEL",394135,158.678547459403,5.95787074960712
"W",2008,"HYBRID ELECTRIC",872,126.231470110701,2.06234787773309
"W",2008,"OTHER",2931,208.909797772277,9.09492241634643
"W",2008,"PETROL",1028689,168.13251231011,7.56471208957569
"W",2009,"DIESEL",420340,157.458673965427,6.04342783656365
"W",2009,"HYBRID ELECTRIC",1189,123.494345793201,2.3520054308427
"W",2009,"OTHER",2917,212.235891752577,9.49343652020725
"W",2009,"PETROL",1002454,166.289891671032,7.78315828653745
"W",2010,"DIESEL",451014,155.434048402305,6.17344027763227
"W",2010,"HYBRID ELECTRIC",1765,118.883699194098,2.63304945675737
"W",2010,"OTHER",2933,214.396621536797,10.1464295494545
"W",2010,"PETROL",974823,164.400856888423,8.09272583970665
"W",2011,"DIESEL",481394,153.361565269775,6.35415447930854
"W",2011,"HYBRID ELECTRIC",2204,116.044565771144,3.07047116444886
"W",2011,"OTHER",2878,213.311431860226,10.6562740129507
"W",2011,"PETROL",948530,162.454525825039,8.39736651283394
